Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
2,5,48,1,1992,12,10,1
1,2,51,1,1992,12,10,1
1,1,53,1,1993,1,5,1
2,2,51,1,1993,1,19,1
2,5,29,1,1993,1,27,1
1,5,4,1,1993,3,3,1
3,5,10,1,1993,3,3,1
1,5,22,1,1993,3,5,1
2,2,51,1,1993,3,18,1
5,5,48,1,1993,3,23,1
5,5,48,1,1993,3,25,1
1,5,4,1,1993,4,14,1
1,2,12,1,1993,4,21,1
2,5,48,1,1993,5,4,1
1,2,12,1,1993,5,5,1
5,5,48,1,1993,5,12,1
1,5,48,1,1993,5,18,1
1,2,51,1,1993,6,17,1
1,2,13,1,1993,6,28,1
1,5,48,1,1993,6,29,1
2,5,48,1,1993,7,1,1
2,5,29,1,1993,7,21,1
2,5,29,1,1993,7,28,1
2,5,48,1,1993,7,30,1
1,5,48,1,1993,8,5,1
1,5,48,1,1993,8,12,1
2,5,48,1,1993,8,20,1
5,5,48,1,1993,8,24,1
1,3,6,1,1993,8,24,1
1,2,12,1,1993,8,25,1
2,5,48,1,1993,8,31,1
2,5,10,1,1993,8,31,1
1,5,48,1,1993,9,3,1
2,2,51,1,1993,9,14,1
2,5,48,1,1993,9,28,1
1,5,29,1,1993,10,6,1
1,5,48,1,1993,11,10,1
1,2,13,1,1993,12,7,1
2,5,48,1,1993,12,15,1
1,2,51,1,1993,12,16,1
1,5,16,1,1994,1,6,1
1,5,48,1,1994,2,2,1
2,2,51,1,1994,3,3,1
2,5,48,1,1994,3,31,1
2,2,13,1,1994,3,31,1
1,5,48,1,1994,4,4,1
1,2,12,1,1994,4,22,1
1,5,48,1,1994,4,26,1
2,2,51,1,1994,4,27,1
2,5,48,1,1994,5,3,1
1,5,17,1,1994,5,10,1
2,5,5,1,1994,5,11,1
1,5,5,1,1994,5,11,1
1,5,24,1,1994,5,17,1
1,5,48,1,1994,5,27,1
1,1,53,1,1994,5,27,1
1,5,48,1,1994,6,14,1
1,3,37,1,1994,6,15,1
2,5,10,1,1994,6,23,1
1,5,48,1,1994,8,2,1
1,5,5,1,1994,8,3,1
1,5,5,1,1994,8,3,1
1,5,5,1,1994,8,3,1
2,2,31,1,1994,9,2,1
5,5,48,1,1994,9,16,1
1,5,48,1,1994,9,20,1
2,5,48,1,1994,10,5,1
1,5,48,1,1994,11,22,1
2,5,48,1,1994,12,6,1
2,2,18,1,1994,12,8,1
1,5,48,1,1994,12,11,1
1,5,48,1,1995,1,4,1
5,5,48,1,1995,1,17,1
1,5,37,1,1995,1,24,1
2,5,51,1,1995,1,24,1
1,5,48,1,1995,1,31,1
2,5,48,1,1995,1,31,1
1,5,48,1,1995,2,7,1
1,5,48,1,1995,2,16,1
2,5,48,1,1995,2,21,1
1,5,10,1,1995,3,17,1
1,5,40,1,1995,3,20,1
2,5,17,1,1995,3,22,1
1,5,17,1,1995,3,22,1
1,5,48,1,1995,4,6,1
1,2,13,1,1995,4,7,1
1,5,5,1,1995,4,19,1
2,2,1,1,1995,4,28,1
1,5,42,1,1995,5,2,1
2,5,29,1,1995,5,3,1
1,5,30,1,1995,5,10,1
2,2,1,1,1995,5,12,1
2,5,22,1,1995,5,16,1
2,5,17,1,1995,5,17,1
1,2,13,1,1995,5,17,1
2,5,51,1,1995,5,25,1
